year,successful_runs,population_mean,population_std,population_min,population_max,population_median,population_p05,population_p95,population_ci_95_lower,population_ci_95_upper,population_n,births_mean,births_std,births_min,births_max,births_median,births_p05,births_p95,births_ci_95_lower,births_ci_95_upper,births_n,deaths_mean,deaths_std,deaths_min,deaths_max,deaths_median,deaths_p05,deaths_p95,deaths_ci_95_lower,deaths_ci_95_upper,deaths_n,couples_mean,couples_std,couples_min,couples_max,couples_median,couples_p05,couples_p95,couples_ci_95_lower,couples_ci_95_upper,couples_n,men_mean,men_std,men_min,men_max,men_median,men_p05,men_p95,men_ci_95_lower,men_ci_95_upper,men_n,women_mean,women_std,women_min,women_max,women_median,women_p05,women_p95,women_ci_95_lower,women_ci_95_upper,women_n,breakups_mean,breakups_std,breakups_min,breakups_max,breakups_median,breakups_p05,breakups_p95,breakups_ci_95_lower,breakups_ci_95_upper,breakups_n,growth_rate_pct,births_per_1000,deaths_per_1000,natural_increase,sex_ratio,couple_rate_pct
0,100,495.16,2.576976538660778,489.0,503.0,495.0,491.0,499.0,494.6549125984225,495.6650874015775,100,1.21,1.4305116694258864,0.0,6.0,1.0,0.0,4.0,0.9296197127925263,1.4903802872074736,100,6.05,2.3110406943429385,1.0,12.0,6.0,2.0,10.0,5.5970360239087835,6.502963976091216,100,101.43,6.897891640995028,87.0,119.0,101.5,90.0,113.05,100.07801323836497,102.78198676163504,100,247.64,1.866883104335278,241.0,252.0,248.0,244.0,251.0,247.27409091155027,248.0059090884497,100,247.52,1.9461435577764419,243.0,253.0,247.0,244.0,251.0,247.13855586267582,247.9014441373242,100,9.4,2.856854242277012,2.0,17.0,9.0,4.95,14.0,8.840056568513706,9.959943431486295,100,,2.44365457629857,12.21827288149285,-4.84,100.04848093083388,20.484287906939173
1,100,538.48,11.072287729080903,511.0,564.0,538.5,520.0,558.05,536.3098316051002,540.6501683948999,100,50.37,9.60498082068135,28.0,72.0,50.0,35.0,67.05,48.48742375914645,52.25257624085354,100,7.05,2.602931525271559,1.0,15.0,7.0,3.0,11.0,6.539825421046774,7.560174578953226,100,128.1,7.076065790445073,113.0,145.0,129.0,116.0,139.05,126.71309110507276,129.48690889492724,100,270.02,6.56741266336364,257.0,288.0,270.0,260.0,281.0,268.7327871179807,271.30721288201926,100,268.46,6.732133106350183,247.0,287.0,269.0,257.0,280.0,267.14050191115535,269.7794980888446,100,27.14,4.688304813064315,17.0,41.0,27.0,19.95,34.05,26.221092256639395,28.058907743360606,100,8.748687292996205,93.54107859159113,13.092408260288218,43.32,100.5810921552559,23.78918437082157
2,100,591.41,16.791709714960984,557.0,638.0,592.0,561.95,624.0,588.1188248958676,594.7011751041323,100,61.08,10.689067387576973,35.0,89.0,60.5,43.95,78.0,58.984942792034914,63.17505720796508,100,8.15,3.2640527575455036,1.0,17.0,8.0,3.0,13.049999999999997,7.510245659521082,8.789754340478918,100,131.23,6.298717201449704,113.0,147.0,132.0,121.0,140.05,129.99545142851585,132.46454857148413,100,296.88,10.080764761753853,274.0,326.0,296.0,280.95,313.1,294.90417010669626,298.85582989330373,100,294.53,10.088952854333778,267.0,316.0,295.0,276.95,310.05,292.55256524055056,296.5074347594494,100,30.03,4.723581503713281,19.0,40.0,30.0,22.95,37.05,29.104178025272198,30.955821974727805,100,9.829520130738366,103.2786053668352,13.78062596168479,52.93,100.79788137031882,22.189344109839197
3,100,625.23,19.582952285138727,587.0,673.0,623.5,594.9,661.05,621.3917413521128,629.0682586478872,100,43.46,8.539178869046822,25.0,69.0,43.0,31.0,58.0,41.78632094166682,45.13367905833318,100,9.64,3.0101511757734194,3.0,19.0,9.0,5.0,15.0,9.05001036954841,10.229989630451591,100,127.06,6.9657459156659005,108.0,142.0,127.5,115.0,137.05,125.69471380052948,128.42528619947052,100,313.88,11.932706941406671,292.0,342.0,313.0,296.0,337.05,311.5411894394843,316.2188105605157,100,311.35,11.549957365787769,287.0,342.0,311.0,291.0,330.1,309.08620835630563,313.6137916436944,100,31.85,4.738356276391656,20.0,44.0,31.0,25.0,39.05,30.921282169827236,32.778717830172766,100,5.718537055511419,69.51042016537914,15.418326056011388,33.82,100.81259033242331,20.322121459302977
4,100,646.12,21.239985162352863,600.0,694.0,642.5,615.9,682.0,641.9569629081789,650.2830370918211,100,31.11,7.959360159046337,14.0,57.0,30.0,19.9,45.0,29.549965408826917,32.67003459117308,100,10.22,3.3138216821992916,1.0,20.0,10.0,5.0,16.0,9.570490950288939,10.869509049711063,100,124.02,6.253855376542303,111.0,142.0,124.0,114.95,134.0,122.7942443461977,125.24575565380229,100,324.43,13.110451532801584,297.0,351.0,323.0,304.95,349.0,321.8603514995709,326.9996485004291,100,321.69,12.335949763421404,299.0,351.0,321.0,302.0,342.1,319.2721538463694,324.1078461536306,100,29.93,5.0517623687484585,19.0,39.0,30.0,22.95,38.0,28.939854575725303,30.920145424274697,100,3.3411704492746663,48.14895065932025,15.817495202129637,20.89,100.85175168640616,19.19457685878784
5,100,657.95,21.799997683254443,614.0,712.0,659.0,621.8,694.1,653.6772004540821,662.222799545918,100,21.72,6.692495420207244,3.0,36.0,22.0,11.95,32.05,20.40827089763938,23.031729102360618,100,9.89,3.3086815708637993,2.0,19.0,9.0,4.95,15.049999999999997,9.241498412110696,10.538501587889305,100,119.93,6.421641125715042,105.0,135.0,119.5,109.95,130.05,118.67135833935986,121.18864166064016,100,330.4,13.61446052377895,302.0,363.0,330.0,307.95,354.1,327.7315657373393,333.0684342626607,100,327.55,12.92353189989783,298.0,356.0,328.5,307.0,350.05,325.01698774762,330.08301225238,100,28.66,5.675073977179914,15.0,41.0,29.0,19.9,38.05,27.54768550047274,29.772314499527262,100,1.8309292391506249,33.011627023330036,15.031537350862527,11.829999999999998,100.87009616852387,18.22782886237556
6,100,663.55,22.331015257355464,618.0,726.0,662.5,628.85,705.0,659.1731210095583,667.9268789904417,100,16.4,5.736644568830364,4.0,35.0,16.0,7.95,26.049999999999997,15.275617664509248,17.52438233549075,100,10.8,3.113995776646092,5.0,18.0,11.0,6.0,17.0,10.189656827777366,11.410343172222635,100,115.95,6.784377479015873,101.0,130.0,116.0,105.95,128.0,114.6202620141129,117.27973798588711,100,333.32,13.98041920730996,303.0,368.0,332.0,311.7,355.05,330.57983783536724,336.06016216463274,100,330.23,13.28693061818738,306.0,363.0,330.0,310.0,351.05,327.6257615988353,332.8342384011647,100,28.04,4.786175377843436,16.0,39.0,28.5,19.95,36.0,27.101909625942685,28.978090374057313,100,0.8511285052055451,24.715545173686987,16.276090724135337,5.599999999999998,100.93571147382127,17.474191846884185
7,100,665.66,22.074813107643145,620.0,731.0,663.0,632.9,707.05,661.333336630902,669.986663369098,100,12.97,4.914326613138982,1.0,29.0,13.0,6.95,22.0,12.00679198382476,13.933208016175241,100,10.86,3.516253745684518,3.0,23.0,11.0,6.0,17.0,10.170814265845834,11.549185734154165,100,111.42,7.283827387722846,89.0,126.0,112.0,97.95,123.0,109.99236983200632,112.84763016799369,100,334.53,13.696165503342513,307.0,367.0,333.5,309.9,356.05,331.84555156134485,337.2144484386551,100,331.13,13.518901844110973,308.0,364.0,331.5,312.0,355.05,328.4802952385542,333.77970476144577,100,28.01,5.107916217089714,14.0,44.0,27.0,21.0,38.0,27.008848421450416,29.011151578549587,100,0.3179865872956045,19.48442147642941,16.31463509899949,2.110000000000001,101.02678706248301,16.73827479494036
8,100,663.73,22.236949412901026,615.0,730.0,663.0,628.8,701.05,659.3715579150714,668.0884420849286,100,9.67,3.979886298563685,2.0,19.0,9.5,4.0,17.0,8.889942285481517,10.450057714518483,100,11.6,3.290635626787449,5.0,20.0,11.0,6.0,17.0,10.95503541714966,12.24496458285034,100,108.0,6.488529116911637,91.0,121.0,108.0,97.95,118.05,106.72824829308531,109.27175170691469,100,333.67,13.405151278821167,306.0,368.0,333.0,309.9,353.05,331.0425903493511,336.29740965064894,100,330.06,13.87230363280764,301.0,363.0,330.5,309.0,354.0,327.3410284879697,332.7789715120303,100,26.27,5.149982838061039,14.0,43.0,26.0,18.95,35.05,25.260603363740035,27.279396636259964,100,-0.28993780608718156,14.569177225679114,17.47698612387567,-1.9299999999999997,101.09374053202448,16.27167673602218
9,100,660.61,22.944771196342867,603.0,721.0,659.5,621.0,701.15,656.1128248455168,665.1071751544832,100,8.45,3.97816007417469,1.0,22.0,8.0,3.0,15.049999999999997,7.670280625461761,9.229719374538238,100,11.57,3.147084589606929,6.0,21.0,11.0,6.95,16.049999999999997,10.953171420437043,12.186828579562958,100,105.9,6.582038614535191,89.0,123.0,106.0,95.95,116.05,104.6099204315511,107.19007956844891,100,331.86,13.695844684288794,299.0,364.0,332.0,307.9,353.0,329.1756144418794,334.5443855581206,100,328.75,14.326901305240467,297.0,361.0,329.0,305.9,354.0,325.9419273441729,331.5580726558271,100,25.2,4.438126822992973,16.0,37.0,25.0,19.0,32.05,24.330127142693378,26.06987285730662,100,-0.4700706612628669,12.791208125823102,17.514115741511635,-3.120000000000001,100.94600760456274,16.030638349404338
10,100,657.35,22.619101161932527,596.0,711.0,658.5,618.9,695.15,652.9166561722612,661.7833438277388,100,7.31,4.43287762524571,0.0,24.0,7.0,1.0,16.0,6.44115598545184,8.178844014548158,100,10.57,3.6383340621051756,3.0,20.0,10.0,5.0,17.0,9.856886523827386,11.283113476172614,100,104.24,6.985005585559902,87.0,121.0,104.5,92.0,115.0,102.87093890523025,105.60906109476974,100,330.53,13.538165281599984,294.0,362.0,331.5,307.9,352.1,327.8765196048064,333.18348039519356,100,326.82,14.025503465998913,296.0,356.0,327.0,304.0,351.1,324.0710013206642,329.5689986793358,100,24.51,4.742873441791219,13.0,35.0,25.0,17.0,33.0,23.580396805408924,25.43960319459108,100,-0.4934832957418145,11.12040769757359,16.079714003194645,-3.2600000000000007,101.13518144544398,15.857610101163763
